"modelID","varName","value","temperature","climate","indoorUnittype","info"
"1","title","Compress 6000 6 LW","0","0","0","1"
"1","application","2","0","0","0","1"
"1","indoor","1","0","0","0","1"
"1","outdoor","0","0","0","0","1"
"1","coolingMode7c12c","0","0","0","0","1"
"1","coolingMode18c23c","0","0","0","0","1"
"1","colderClimate","0","0","0","0","1"
"1","warmerClimate","0","0","0","0","1"
"1","reversibility","0","0","0","0","1"
"1","colderForHeating","0","0","0","0","1"
"1","warmerForHeating","0","0","0","0","1"
"1","en145112Certification","0","0","0","0","1"
"1","heatSource","0","0","0","0","1"
"1","additionalOutdoorAir","0","0","0","0","1"
"1","additionalExhaustAir","0","0","0","0","1"
"1","additionalIndoorAir","0","0","0","0","1"
"1","additionalNonheatedSpaceAir","0","0","0","0","1"
"1","powerSupply","3","0","0","0","1"
"1","offPeakProduct","2","0","0","0","1"
"1","EN14511_4_001","2","0","10","0","2"
"1","EN14511_4_002","2","0","10","0","2"
"1","EN14511_2_001","5.61","4","10","0","2"
"1","EN14511_2_001","5.11","5","10","0","2"
"1","EN14511_2_002","1.35","4","10","0","2"
"1","EN14511_2_002","1.97","5","10","0","2"
"1","EN14511_2_003","4.17","4","10","0","2"
"1","EN14511_2_003","2.6","5","10","0","2"
"1","EN14511_4_003","2","0","10","0","2"
"1","EN14511_4_004","2","0","10","0","2"
"1","EN14511_4_005","2","0","10","0","2"
"1","EN14511_4_006","2","0","10","0","2"
"1","EN12102_1_001","46","4","1","0","2"
"1","EN12102_1_001","46","5","1","0","2"
"1","EN12102_1_001","46","4","2","0","2"
"1","EN12102_1_001","46","5","2","0","2"
"1","EN12102_1_001","46","4","3","0","2"
"1","EN12102_1_001","46","5","3","0","2"
"1","EN14825_001","171","4","1","0","2"
"1","EN14825_001","125","5","1","0","2"
"1","EN14825_001","176","4","2","0","2"
"1","EN14825_001","128","5","2","0","2"
"1","EN14825_001","171","4","3","0","2"
"1","EN14825_001","125","5","3","0","2"
"1","EN14825_002","7.00","4","1","0","2"
"1","EN14825_002","6.00","5","1","0","2"
"1","EN14825_002","7.00","4","2","0","2"
"1","EN14825_002","6.00","5","2","0","2"
"1","EN14825_002","7","4","3","0","2"
"1","EN14825_002","6","5","3","0","2"
"1","EN14825_003","4.48","4","1","0","2"
"1","EN14825_003","3.32","5","1","0","2"
"1","EN14825_003","4.6","4","2","0","2"
"1","EN14825_003","3.4","5","2","0","2"
"1","EN14825_003","4.48","4","3","0","2"
"1","EN14825_003","3.31","5","3","0","2"
"1","EN14825_004","5","4","1","0","2"
"1","EN14825_004","4","5","1","0","2"
"1","EN14825_004","-14","4","2","0","2"
"1","EN14825_004","-16","5","2","0","2"
"1","EN14825_004","-5","4","3","0","2"
"1","EN14825_004","-6","5","3","0","2"
"1","EN14825_005","2","4","1","0","2"
"1","EN14825_005","2","5","1","0","2"
"1","EN14825_005","-22","4","2","0","2"
