"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"1","title","BeeThermic MHCM 10 SU1A","0","0","0","1","0"
"1","application","2","0","0","0","1","0"
"1","indoor","0","0","0","0","1","0"
"1","outdoor","1","0","0","0","1","0"
"1","coolingMode7c12c","0","0","0","0","1","0"
"1","coolingMode18c23c","0","0","0","0","1","0"
"1","colderClimate","0","0","0","0","1","0"
"1","warmerClimate","0","0","0","0","1","0"
"1","reversibility","1","0","0","0","1","0"
"1","colderForHeating","0","0","0","0","1","0"
"1","warmerForHeating","0","0","0","0","1","0"
"1","en145112Certification","0","0","0","0","1","0"
"1","heatSource","0","0","0","0","1","0"
"1","additionalOutdoorAir","0","0","0","0","1","0"
"1","additionalExhaustAir","0","0","0","0","1","0"
"1","additionalIndoorAir","0","0","0","0","1","0"
"1","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"1","powerSupply","1","0","0","0","1","0"
"1","offPeakProduct","0","0","0","0","1","0"
"1","EN14511_2_001","10.31","4","10","0","2","0"
"1","EN14511_2_001","9.28","5","10","0","2","0"
"1","EN14511_2_002","2.31","4","10","0","2","0"
"1","EN14511_2_002","2.96","5","10","0","2","0"
"1","EN14511_2_003","4.47","4","10","0","2","0"
"1","EN14511_2_003","3.13","5","10","0","2","0"
"1","EN14511_4_003","2","0","10","0","2","0"
"1","EN14511_4_004","2","0","10","0","2","0"
"1","EN14511_4_005","2","0","10","0","2","0"
"1","EN14511_4_006","2","0","10","0","2","0"
"1","EN12102_1_002","66","4","3","0","2","0"
"1","EN12102_1_002","64","5","3","0","2","0"
"1","EN14825_001","176","4","3","0","2","0"
"1","EN14825_001","126","5","3","0","2","0"
"1","EN14825_002","7.86","4","3","0","2","0"
"1","EN14825_002","7.26","5","3","0","2","0"
"1","EN14825_003","4.47","4","3","0","2","0"
"1","EN14825_003","3.24","5","3","0","2","0"
"1","EN14825_004","-7","4","3","0","2","0"
"1","EN14825_004","-7","5","3","0","2","0"
"1","EN14825_005","-10","4","3","0","2","0"
"1","EN14825_005","-10","5","3","0","2","0"
"1","EN14825_008","6.95","4","3","0","2","0"
"1","EN14825_008","6.42","5","3","0","2","0"
"1","EN14825_009","3.25","4","3","0","2","0"
"1","EN14825_009","2.29","5","3","0","2","0"
"1","EN14825_047","0.900","4","3","0","2","0"
"1","EN14825_047","0.900","5","3","0","2","0"
"1","EN14825_010","4.19","4","3","0","2","0"
"1","EN14825_010","4.11","5","3","0","2","0"
"1","EN14825_011","4.47","4","3","0","2","0"
"1","EN14825_011","3.20","5","3","0","2","0"
"1","EN14825_048","0.900","4","3","0","2","0"
"1","EN14825_048","0.900","5","3","0","2","0"
"1","EN14825_012","4.02","4","3","0","2","0"
"1","EN14825_012","3.71","5","3","0","2","0"
"1","EN14825_013","5.70","4","3","0","2","0"
"1","EN14825_013","4.05","5","3","0","2","0"
"1","EN14825_049","0.900","4","3","0","2","0"
"1","EN14825_049","0.900","5","3","0","2","0"
"1","EN14825_014","3.94","4","3","0","2","0"
"1","EN14825_014","4.12","5","3","0","2","0"
"1","EN14825_015","8.34","4","3","0","2","0"
"1","EN14825_015","5.69","5","3","0","2","0"
"1","EN14825_050","0.900","4","3","0","2","0"
"1","EN14825_050","0.900","5","3","0","2","0"
"1","EN14825_016","6.95","4","3","0","2","0"
"1","EN14825_016","6.42","5","3","0","2","0"
"1","EN14825_017","3.25","4","3","0","2","0"
"1","EN14825_017","2.29","5","3","0","2","0"
"1","EN14825_018","5.41","4","3","0","2","0"
"1","EN14825_018","6.35","5","3","0","2","0"
"1","EN14825_019","2.56","4","3","0","2","0"
"1","EN14825_019","2.18","5","3","0","2","0"
"1","EN14825_021","0.900","4","3","0","2","0"
"1","EN14825_021","0.900","5","3","0","2","0"
"1","EN14825_022","51","4","3","0","2","0"
"1","EN14825_022","51","5","3","0","2","0"
"1","EN14825_023","9","4","3","0","2","0"
"1","EN14825_023","9","5","3","0","2","0"
"1","EN14825_024","19","4","3","0","2","0"
"1","EN14825_024","19","5","3","0","2","0"
"1","EN14825_025","9","4","3","0","2","0"
"1","EN14825_025","9","5","3","0","2","0"
"1","EN14825_026","40","4","3","0","2","0"
"1","EN14825_026","40","5","3","0","2","0"
"1","EN14825_027","1","4","3","0","2","0"
"1","EN14825_027","1","5","3","0","2","0"
"1","EN14825_028","2.45","4","3","0","2","0"
"1","EN14825_028","0.91","5","3","0","2","0"
"1","EN14825_029","3630","4","3","0","2","0"
"1","EN14825_029","4634","5","3","0","2","0"
"","Refrigerant","R32","0","0","0","0"
"","Mass of Refrigerant","1,800 kg","0","0","0","0"
"","Date","03.04.2024","0","0","0","0"
"","Manufacturer"," MYCOND Limited","0","0","0","0"
"","Modelname","DC Inverter Air Source Heat Pump 10 EVI","0","0","0","0"
"","Type","Outdoor Air/Water","0","0","0","0"
"","Energy","Electricity","0","0","0","0"
