"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"1","title","AEROTOP S07.2","0","0","0","1","0"
"1","application","2","0","0","0","1","0"
"1","indoor","1","0","0","0","1","0"
"1","outdoor","0","0","0","0","1","0"
"1","coolingMode7c12c","0","0","0","0","1","0"
"1","coolingMode18c23c","0","0","0","0","1","0"
"1","colderClimate","1","0","0","0","1","0"
"1","warmerClimate","1","0","0","0","1","0"
"1","reversibility","1","0","0","0","1","0"
"1","colderForHeating","0","0","0","0","1","0"
"1","warmerForHeating","0","0","0","0","1","0"
"1","en145112Certification","0","0","0","0","1","0"
"1","heatSource","0","0","0","0","1","0"
"1","additionalOutdoorAir","0","0","0","0","1","0"
"1","additionalExhaustAir","0","0","0","0","1","0"
"1","additionalIndoorAir","0","0","0","0","1","0"
"1","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"1","powerSupply","3","0","0","0","1","0"
"1","offPeakProduct","0","0","0","0","1","0"
"1","EN14511_2_001","5.72","4","10","0","2","0"
"1","EN14511_2_001","4.76","5","10","0","2","0"
"1","EN14511_2_002","1.14","4","10","0","2","0"
"1","EN14511_2_002","1.75","5","10","0","2","0"
"1","EN14511_2_003","5.02","4","10","0","2","0"
"1","EN14511_2_003","2.72","5","10","0","2","0"
"1","EN14511_4_003","2","0","10","0","2","0"
"1","EN14511_4_004","2","0","10","0","2","0"
"1","EN14511_4_005","2","0","10","0","2","0"
"1","EN14511_4_006","2","0","10","0","2","0"
"1","EN12102_1_001","44","4","1","0","2","0"
"1","EN12102_1_001","44","4","1","0","2","2"
"1","EN12102_1_001","44","5","1","0","2","0"
"1","EN12102_1_001","44","5","1","0","2","2"
"1","EN12102_1_001","44","4","2","0","2","0"
"1","EN12102_1_001","44","4","2","0","2","2"
"1","EN12102_1_001","44","5","2","0","2","0"
"1","EN12102_1_001","44","5","2","0","2","2"
"1","EN12102_1_001","44","4","3","0","2","0"
"1","EN12102_1_001","44","4","3","0","2","2"
"1","EN12102_1_001","44","5","3","0","2","0"
"1","EN12102_1_001","44","5","3","0","2","2"
"1","EN14825_001","245","4","1","0","2","0"
"1","EN14825_001","174","5","1","0","2","0"
"1","EN14825_001","159","4","2","0","2","0"
"1","EN14825_001","127","5","2","0","2","0"
"1","EN14825_001","199","4","3","0","2","0"
"1","EN14825_001","142","5","3","0","2","0"
"1","EN14825_002","7.98","4","1","0","2","0"
"1","EN14825_002","8.02","5","1","0","2","0"
"1","EN14825_002","10.50","4","2","0","2","0"
"1","EN14825_002","9.19","5","2","0","2","0"
"1","EN14825_002","7.90","4","3","0","2","0"
"1","EN14825_002","7.42","5","3","0","2","0"
"1","EN14825_003","6.20","4","1","0","2","0"
"1","EN14825_003","4.42","5","1","0","2","0"
"1","EN14825_003","4.06","4","2","0","2","0"
"1","EN14825_003","3.25","5","2","0","2","0"
"1","EN14825_003","5.06","4","3","0","2","0"
"1","EN14825_003","3.61","5","3","0","2","0"
"1","EN14825_004","2","4","1","0","2","0"
"1","EN14825_004","2","5","1","0","2","0"
"1","EN14825_004","-7","4","2","0","2","0"
"1","EN14825_004","-7","5","2","0","2","0"
"1","EN14825_004","-7","4","3","0","2","0"
"1","EN14825_004","-7","5","3","0","2","0"
"1","EN14825_005","-20","4","1","0","2","0"
"1","EN14825_005","-20","5","1","0","2","0"
"1","EN14825_005","-20","4","2","0","2","0"
"1","EN14825_005","-20","5","2","0","2","0"
"1","EN14825_005","-20","4","3","0","2","0"
"1","EN14825_005","-20","5","3","0","2","0"
"1","EN14825_008","6.71","4","2","0","2","0"
"1","EN14825_008","5.87","5","2","0","2","0"
"1","EN14825_008","6.99","4","3","0","2","0"
"1","EN14825_008","6.56","5","3","0","2","0"
"1","EN14825_009","3.79","4","2","0","2","0"
"1","EN14825_009","2.96","5","2","0","2","0"
"1","EN14825_009","3.43","4","3","0","2","0"
"1","EN14825_009","2.55","5","3","0","2","0"
"1","EN14825_047","0.99","4","2","0","2","0"
"1","EN14825_047","0.99","5","2","0","2","0"
"1","EN14825_047","0.99","4","3","0","2","0"
"1","EN14825_047","0.99","5","3","0","2","0"
"1","EN14825_010","7.98","4","1","0","2","0"
"1","EN14825_010","8.02","5","1","0","2","0"
"1","EN14825_010","4.12","4","2","0","2","0"
"1","EN14825_010","3.75","5","2","0","2","0"
"1","EN14825_010","5.01","4","3","0","2","0"
"1","EN14825_010","3.89","5","3","0","2","0"
"1","EN14825_011","4.18","4","1","0","2","0"
"1","EN14825_011","2.80","5","1","0","2","0"
"1","EN14825_011","5.42","4","2","0","2","0"
"1","EN14825_011","4.13","5","2","0","2","0"
"1","EN14825_011","5.01","4","3","0","2","0"
"1","EN14825_011","3.60","5","3","0","2","0"
"1","EN14825_048","0.97","4","1","0","2","0"
"1","EN14825_048","0.97","5","1","0","2","0"
"1","EN14825_048","0.97","4","2","0","2","0"
"1","EN14825_048","0.97","5","2","0","2","0"
"1","EN14825_048","0.97","4","3","0","2","0"
"1","EN14825_048","0.97","5","3","0","2","0"
"1","EN14825_012","5.20","4","1","0","2","0"
"1","EN14825_012","5.14","5","1","0","2","0"
"1","EN14825_012","2.78","4","2","0","2","0"
"1","EN14825_012","2.73","5","2","0","2","0"
"1","EN14825_012","2.82","4","3","0","2","0"
"1","EN14825_012","2.65","5","3","0","2","0"
"1","EN14825_013","5.78","4","1","0","2","0"
"1","EN14825_013","3.89","5","1","0","2","0"
"1","EN14825_013","6.62","4","2","0","2","0"
"1","EN14825_013","5.28","5","2","0","2","0"
"1","EN14825_013","6.35","4","3","0","2","0"
"1","EN14825_013","4.65","5","3","0","2","0"
"1","EN14825_049","0.94","4","1","0","2","0"
"1","EN14825_049","0.94","5","1","0","2","0"
"1","EN14825_049","0.94","4","2","0","2","0"
"1","EN14825_049","0.94","5","2","0","2","0"
"1","EN14825_049","0.94","4","3","0","2","0"
"1","EN14825_049","0.94","5","3","0","2","0"
"1","EN14825_014","3.04","4","1","0","2","0"
"1","EN14825_014","2.98","5","1","0","2","0"
"1","EN14825_014","3.09","4","2","0","2","0"
"1","EN14825_014","3.05","5","2","0","2","0"
"1","EN14825_014","3.09","4","3","0","2","0"
"1","EN14825_014","2.99","5","3","0","2","0"
"1","EN14825_015","7.41","4","1","0","2","0"
"1","EN14825_015","5.52","5","1","0","2","0"
"1","EN14825_015","7.92","4","2","0","2","0"
"1","EN14825_015","6.24","5","2","0","2","0"
"1","EN14825_015","7.92","4","3","0","2","0"
"1","EN14825_015","5.86","5","3","0","2","0"
"1","EN14825_050","0.93","4","1","0","2","0"
"1","EN14825_050","0.93","5","1","0","2","0"
"1","EN14825_050","0.93","4","2","0","2","0"
"1","EN14825_050","0.93","5","2","0","2","0"
"1","EN14825_050","0.93","4","3","0","2","0"
"1","EN14825_050","0.93","5","3","0","2","0"
"1","EN14825_016","7.98","4","1","0","2","0"
"1","EN14825_016","8.02","5","1","0","2","0"
"1","EN14825_016","6.71","4","2","0","2","0"
"1","EN14825_016","5.87","5","2","0","2","0"
"1","EN14825_016","6.99","4","3","0","2","0"
"1","EN14825_016","6.56","5","3","0","2","0"
