Model,k1,k2,k3,k4,k5,k6,k7,k8,k9
LW 121A,283.41178029047506,-31.646330676643295,12222.15138612719,3.9916324969948,56.03077752025645,1231.8463097340123,0.09236536946719508,-0.060084598880613904,5.7021292933859415
LW 140 (L),262.9695544555729,-29.3212537630089,13885.024657757605,-9.674532869580108,64.69904765701014,1387.2061037184417,0.09464847696426862,-0.05979939657479574,5.755584587883683
LW 140A,262.9695544555729,-29.3212537630089,13885.024657757605,-9.674532869580108,64.69904765701014,1387.2061037184417,0.09464847696426862,-0.05979939657479574,5.755584587883683
LW 180 (L),-158.98678539594482,-49.670581744749654,15687.629996361575,-129.68442806594325,92.84565799192916,1071.826010916782,0.10942983113886653,-0.07656001923112153,6.334996252083765
LW 180A,-158.98678539594482,-49.670581744749654,15687.629996361575,-129.68442806594325,92.84565799192916,1071.826010916782,0.10942983113886653,-0.07656001923112153,6.334996252083765
LW 251 (L),-229.2825375377606,0.5208221152344947,19409.5856831936,-182.40354603584285,129.8521946434763,1474.7432095249592,0.11309349441599663,-0.06333684180206715,5.82512670618589
LW 251A,-229.2825375377606,0.5208221152344947,19409.5856831936,-182.40354603584285,129.8521946434763,1474.7432095249592,0.11309349441599663,-0.06333684180206715,5.82512670618589
LW 300A-LUX 2.0,162.55069024717508,25.229170327591305,17983.694942043665,-115.15632089946946,123.61058853431578,1990.5581422810374,0.09343156804413356,-0.04866655320291715,4.937152278195809
LW 300(L),162.55069024717508,25.229170327591305,17983.694942043665,-115.15632089946946,123.61058853431578,1990.5581422810374,0.09343156804413356,-0.04866655320291715,4.937152278195809
LW 310 (L),-312.8814575555889,-38.67359762191245,26323.240135207714,-230.08088306598097,147.58109441240876,2716.9329693312197,0.09303326085746061,-0.05746574691713426,5.4910186372753635
LW 310A,-312.8814575555889,-38.67359762191245,26323.240135207714,-230.08088306598097,147.58109441240876,2716.9329693312197,0.09303326085746061,-0.05746574691713426,5.4910186372753635
LWC 100,284.9294342507924,-31.54691698357737,11282.172251764165,9.414715377766775,50.1173390378447,1311.639965332881,0.08717323378809502,-0.056300892413680845,5.385236858461947
LWC 120,305.07683381636343,-36.66584463369511,12776.36949122275,0.8636275671063665,58.41559422408731,1502.5662534387102,0.09152818070948993,-0.054292298285422175,5.255949121078172
LWC 60,169.53788703566244,-16.416508184945535,6430.93486421061,4.893571776700474,27.078634109649506,777.9194501021723,0.09371824233279737,-0.0534992835080923,5.3585240223120945
LWC 80,177.31357985908954,-19.3015068517264,8205.391792738874,-0.758709330014959,36.197792969926155,944.9813455190372,0.08888357500737849,-0.05511273441987086,5.450907733046563
LWD 50A-HMD,171.52766231707483,-29.466367959166107,6650.0595804879285,2.304990170203115,27.81045552562854,534.9481259976106,0.11963843842346401,-0.07326532507882583,6.4360110151086625
LWD 50A-HTD,171.52766231707483,-29.466367959166107,6650.0595804879285,2.304990170203115,27.81045552562854,534.9481259976106,0.11963843842346401,-0.07326532507882583,6.4360110151086625
LWD 50A/RX-HMD,165.21084496503323,-17.517125103953315,6028.913217734702,7.850401571200257,19.871970459733962,804.7996099950292,0.09380644680400564,-0.05239897362738658,5.500392154627382
LWD 50A/SX-HMD,156.37857244982453,-21.996508165382,6265.0549646106165,0.9457508941245631,16.97926383231252,931.5276790246098,0.10630287368466054,-0.04922071691611738,5.392402085601996
LWD 50A/SX-HTD S,156.37857244982453,-21.996508165382,6265.0549646106165,0.9457508941245631,16.97926383231252,931.5276790246098,0.10630287368466054,-0.04922071691611738,5.392402085601996
LWD 70A-HMD,245.73007561132167,-24.68280599751872,8413.416191525095,4.861538663041841,33.809792456481865,852.6479993326789,0.12190452473876652,-0.06159763908891606,5.9732530070958125
LWD 70A-HTD,245.73007561132167,-24.68280599751872,8413.416191525095,4.861538663041841,33.809792456481865,852.6479993326789,0.12190452473876652,-0.06159763908891606,5.9732530070958125
LWD 70A/RX-HMD,209.330741814842,-26.617459647162757,8237.317579019273,5.825869757597836,26.62561872910007,1093.6038111395358,0.09843208811063152,-0.05349248103610466,5.548041726996868
LWD 70A/RX-HTD,209.330741814842,-26.617459647162757,8237.317579019273,5.825869757597836,26.62561872910007,1093.6038111395358,0.09843208811063152,-0.05349248103610466,5.548041726996868
LWD 70A/SX-HMD,242.54431412014344,-24.74370863647559,8432.909889252376,6.289679812340815,23.600705886422816,1434.8368576590815,0.09708291448218981,-0.041129205193754285,4.845276227633311
LWD 70A/SX-HTD S,242.54431412014344,-24.74370863647559,8432.909889252376,6.289679812340815,23.600705886422816,1434.8368576590815,0.09708291448218981,-0.041129205193754285,4.845276227633311
LWD 90A-HMD,226.98340627926868,-13.932240605619064,9321.978848840708,4.949538377210765,36.47697817045315,1198.2804911819435,0.09173928847026883,-0.050889050880054375,5.42947361435594
LWD 90A-HTD,226.98340627926868,-13.932240605619064,9321.978848840708,4.949538377210765,36.47697817045315,1198.2804911819435,0.09173928847026883,-0.050889050880054375,5.42947361435594
LWDV 91-1/3-HDV 12-3,-243.34989200113176,-22.940746484872967,6346.562782421472,-111.651300917501,23.01021821195513,810.6783020431333,0.19942534734631756,-0.06826972208490116,6.95253298024432
LWDV 91-1/3-HDV 9-1/3,-243.34989200113176,-22.940746484872967,6346.562782421472,-111.651300917501,23.01021821195513,810.6783020431333,0.19942534734631756,-0.06826972208490116,6.95253298024432
LWDV 91-1/3-HSDV 12M3,-243.34989200113176,-22.940746484872967,6346.562782421472,-111.651300917501,23.01021821195513,810.6783020431333,0.19942534734631756,-0.06826972208490116,6.95253298024432
LWDV91-1/3-HSDV 9M-1/3,-243.34989200113176,-22.940746484872967,6346.562782421472,-111.651300917501,23.01021821195513,810.6783020431333,0.19942534734631756,-0.06826972208490116,6.95253298024432
LWCV 122R3,-147.35038977558048,-45.629119592634694,8466.727350211348,-119.14000315513587,22.43993593840437,1367.3672131603255,0.16479301768525084,-0.07504238566858794,6.584056445459323
LWV 122R3,-147.35038977558048,-45.629119592634694,8466.727350211348,-119.14000315513587,22.43993593840437,1367.3672131603255,0.16479301768525084,-0.07504238566858794,6.584056445459323
LWAV 122R3,-147.35038977558048,-45.629119592634694,8466.727350211348,-119.14000315513587,22.43993593840437,1367.3672131603255,0.16479301768525084,-0.07504238566858794,6.584056445459323
LWAV+ 122R3,-147.35038977558048,-45.629119592634694,8466.727350211348,-119.14000315513587,22.43993593840437,1367.3672131603255,0.16479301768525084,-0.07504238566858794,6.584056445459323
LWCV 82R1/3,-149.83927846251018,-38.783337349682,5770.114686595721,-68.33489154575278,16.801064138689426,653.2605408634303,0.1547054276067676,-0.08854015518452395,7.378348837407827
LWV 82R1/3,-149.83927846251018,-38.783337349682,5770.114686595721,-68.33489154575278,16.801064138689426,653.2605408634303,0.1547054276067676,-0.08854015518452395,7.378348837407827
LWAV 82R1/3,-149.83927846251018,-38.783337349682,5770.114686595721,-68.33489154575278,16.801064138689426,653.2605408634303,0.1547054276067676,-0.08854015518452395,7.378348837407827
LWAV+ 82R1/3,-149.83927846251018,-38.783337349682,5770.114686595721,-68.33489154575278,16.801064138689426,653.2605408634303,0.1547054276067676,-0.08854015518452395,7.378348837407827
SWCV 122(H)(K)3 (3~400V),-398.9304878221264,37.31942062882999,6150.901627324515,-87.07733568242689,49.310798914052,18.46196030798251,0.011724763789457087,-0.08606468341740842,7.692436819225627
SWCV 122H1 (1~230V),-398.9304878221264,37.31942062882999,6150.901627324515,-87.07733568242689,49.310798914052,18.46196030798251,0.011724763789457087,-0.08606468341740842,7.692436819225627
WZSV 122(H)(K)3M,-398.9304878221264,37.31942062882999,6150.901627324515,-87.07733568242689,49.310798914052,18.46196030798251,0.011724763789457087,-0.08606468341740842,7.692436819225627
PWZSV 122H3S (3~400V),-398.9304878221264,37.31942062882999,6150.901627324515,-87.07733568242689,49.310798914052,18.46196030798251,0.011724763789457087,-0.08606468341740842,7.692436819225627
PWZSV 122H2S (3~230V),-398.9304878221264,37.31942062882999,6150.901627324515,-87.07733568242689,49.310798914052,18.46196030798251,0.011724763789457087,-0.08606468341740842,7.692436819225627
PWZSV 122H1S (1~230V),-398.9304878221264,37.31942062882999,6150.901627324515,-87.07733568242689,49.310798914052,18.46196030798251,0.011724763789457087,-0.08606468341740842,7.692436819225627
SWCV 162(H)(K)3,-486.73604453774124,-9.273008675333699,10572.335800842304,-122.78180327157082,52.922985348101086,619.0086916282428,0.03216462189274071,-0.08637145849693281,7.655192709339807
WZSV 162(H)(K)3M,-486.73604453774124,-9.273008675333699,10572.335800842304,-122.78180327157082,52.922985348101086,619.0086916282428,0.03216462189274071,-0.08637145849693281,7.655192709339807
PWZSV 162H3S,-486.73604453774124,-9.273008675333699,10572.335800842304,-122.78180327157082,52.922985348101086,619.0086916282428,0.03216462189274071,-0.08637145849693281,7.655192709339807
SWCV 62(H)(K)3,-203.29560391667573,-3.6152879084223697,3660.810135563767,-45.74651741047338,19.666280921380242,154.20940478721909,0.012362870024141397,-0.09685981824658467,8.036286207141833
SWCV 62H1,-203.29560391667573,-3.6152879084223697,3660.810135563767,-45.74651741047338,19.666280921380242,154.20940478721909,0.012362870024141397,-0.09685981824658467,8.036286207141833
WZSV 62(H)(K)3M,-203.29560391667573,-3.6152879084223697,3660.810135563767,-45.74651741047338,19.666280921380242,154.20940478721909,0.012362870024141397,-0.09685981824658467,8.036286207141833
PWZSV 62H3S,-203.29560391667573,-3.6152879084223697,3660.810135563767,-45.74651741047338,19.666280921380242,154.20940478721909,0.012362870024141397,-0.09685981824658467,8.036286207141833
PWZSV 62H2S,-203.29560391667573,-3.6152879084223697,3660.810135563767,-45.74651741047338,19.666280921380242,154.20940478721909,0.012362870024141397,-0.09685981824658467,8.036286207141833
PWZSV 62H1S,-203.29560391667573,-3.6152879084223697,3660.810135563767,-45.74651741047338,19.666280921380242,154.20940478721909,0.012362870024141397,-0.09685981824658467,8.036286207141833
SWCV 92(H)(K)3 (3~ 400V),-322.98826598395715,-43.61199617828639,6599.621299572445,-80.62259094848537,16.13483905376488,685.0439762574515,0.03701514765179295,-0.10194881559145315,8.182437519174933
SWCV 92H1 (1~ 230V),-322.98826598395715,-43.61199617828639,6599.621299572445,-80.62259094848537,16.13483905376488,685.0439762574515,0.03701514765179295,-0.10194881559145315,8.182437519174933
WZSV 92(H)(K)3M(3~ 400V),-322.98826598395715,-43.61199617828639,6599.621299572445,-80.62259094848537,16.13483905376488,685.0439762574515,0.03701514765179295,-0.10194881559145315,8.182437519174933
PWZSV 92H3S (3~ 400V),-322.98826598395715,-43.61199617828639,6599.621299572445,-80.62259094848537,16.13483905376488,685.0439762574515,0.03701514765179295,-0.10194881559145315,8.182437519174933
PWZSV 92H2S (3~ 230V),-322.98826598395715,-43.61199617828639,6599.621299572445,-80.62259094848537,16.13483905376488,685.0439762574515,0.03701514765179295,-0.10194881559145315,8.182437519174933
PWZSV 92H1S(1~ 230V),-322.98826598395715,-43.61199617828639,6599.621299572445,-80.62259094848537,16.13483905376488,685.0439762574515,0.03701514765179295,-0.10194881559145315,8.182437519174933
WWC 100H/X,2.291167391737284,-44.516680792105994,12484.741763227736,0.8651228135531515,43.54105006525626,541.4984743741746,0.0037364620310093768,-0.11604172724704731,9.525856757009114
WWC 130H/X,2.4892533426905317,-50.163614050272244,14573.161760253417,0.8890136488855305,45.39599219205844,848.0262217864836,0.0028803217839026116,-0.1044046749692609,9.05257957582546
WWC 160H/X,-6.402280500453545,-54.48717952664343,16357.904777979942,8.45383091244194,55.966242544265604,885.8220043473226,-0.01479379592512213,-0.10771872069067384,8.977109309480324
WWC 190H/X,3.8715657317832037,-83.51313858061211,21084.713658950597,0.05897389169614087,64.16511391447192,1142.4927994696702,0.005769154338049749,-0.11086561812417392,9.3920635828366
WWC 220H/X,-14.972839835383072,-72.1547478124654,24182.724395477333,24.730484286507433,104.51677469909293,380.5541747636312,-0.0337773385632935,-0.1411863392246558,10.502751095819047
AIM06EMX,-170.3841078155468,-47.27402266754126,4378.888906551144,-79.19510783133522,5.04865016665785,850.510527834957,0.1301590957537677,-0.07703564491730656,6.130043458748647
AIM08EMX,-245.3322238975847,-45.628646067049544,5465.897492196373,-94.87017174741679,22.330776191846564,578.80017179076,0.11825535109759475,-0.08601023125196759,6.588957969880029
AIM11EMX,-172.14286036759623,-12.380955937369626,5483.0953716336735,-104.5062952058666,43.45405677484857,315.66384048276626,0.17492307011101513,-0.06242929251036388,5.690026184655199
AIM11EMX3PH,-172.14286036759623,-12.380955937369626,5483.0953716336735,-104.5062952058666,43.45405677484857,315.66384048276626,0.17492307011101513,-0.06242929251036388,5.690026184655199
AIM14EMX3PH,-267.1896072353098,-1.6823690465669496,6279.245061299307,-148.65511951840708,68.81412655899831,6.057317500199247,0.15541831778642778,-0.08033237697389148,6.301211345655024
AUAH + AEI1G50EMX,-70.73673552765084,26.515010912086407,998.6250748685259,-46.007730842893096,25.755517509935117,-129.81885418628167,0.1643304821359716,-0.07420449435023098,6.039372806210081
AUBH + AEI1G65EMX,-179.44753788326398,-39.056802367165226,4796.893963318733,-90.14389356866963,19.240741673621308,623.1031325716467,0.16268339516280952,-0.07598112260887885,6.146209206610398
AUCH + AEI1G110BEMX,-266.16356349771337,-47.461369710479765,6709.307056891881,-153.0082334641621,27.46080194893676,1089.438749676934,0.17817468285151217,-0.07375316721192855,6.0191537329297455
AUCH + AEI1G80BEMX,-221.85221638306524,-34.01138190389482,5134.374002586309,-108.3364868659937,25.943964620587682,619.6039219879091,0.14252790527016596,-0.07575868831365785,6.062857241693394
AUDH + AEI1G140EMX3PH,-338.4691893557538,-115.39022751381466,11519.93123353252,-175.15326752692326,43.25825803383762,1232.1588154465937,0.12702667821399424,-0.08902409857131309,6.6656100140373
AEROTOP MONO 11M-R,-403.61652093414347,-50.874537683164874,9556.470056128295,-145.91276049933649,41.42193732707918,862.0655679309889,0.11506773830635024,-0.11887876691730317,8.379970528710091
AEROTOP MONO 11M-RL,-403.61652093414347,-50.874537683164874,9556.470056128295,-145.91276049933649,41.42193732707918,862.0655679309889,0.11506773830635024,-0.11887876691730317,8.379970528710091
ARIANEXT LITE 110 M-T LINK,-403.61652093414347,-50.874537683164874,9556.470056128295,-145.91276049933649,41.42193732707918,862.0655679309889,0.11506773830635024,-0.11887876691730317,8.379970528710091
ARIANEXT LITE 110 M-T,-403.61652093414347,-50.874537683164874,9556.470056128295,-145.91276049933649,41.42193732707918,862.0655679309889,0.11506773830635024,-0.11887876691730317,8.379970528710091
ARIANEXT PLUS 110 M-T LINK,-403.61652093414347,-50.874537683164874,9556.470056128295,-145.91276049933649,41.42193732707918,862.0655679309889,0.11506773830635024,-0.11887876691730317,8.379970528710091
ARIANEXT PLUS 110 M-T,-403.61652093414347,-50.874537683164874,9556.470056128295,-145.91276049933649,41.42193732707918,862.0655679309889,0.11506773830635024,-0.11887876691730317,8.379970528710091
NIMBUS PLUS 110 M-T NET,-403.61652093414347,-50.874537683164874,9556.470056128295,-145.91276049933649,41.42193732707918,862.0655679309889,0.11506773830635024,-0.11887876691730317,8.379970528710091
NIMBUS POCKET 110 M-T NET,-403.61652093414347,-50.874537683164874,9556.470056128295,-145.91276049933649,41.42193732707918,862.0655679309889,0.11506773830635024,-0.11887876691730317,8.379970528710091
AEROTOP MONO 11M-CR,-403.61652093414347,-50.874537683164874,9556.470056128295,-145.91276049933649,41.42193732707918,862.0655679309889,0.11506773830635024,-0.11887876691730317,8.379970528710091
ARIANEXT COMPACT 110 M-T LINK,-403.61652093414347,-50.874537683164874,9556.470056128295,-145.91276049933649,41.42193732707918,862.0655679309889,0.11506773830635024,-0.11887876691730317,8.379970528710091
ARIANEXT FLEX 110 M-T - 300 LINK,-403.61652093414347,-50.874537683164874,9556.470056128295,-145.91276049933649,41.42193732707918,862.0655679309889,0.11506773830635024,-0.11887876691730317,8.379970528710091
ARIANEXT FLEX 110 M-T LINK,-403.61652093414347,-50.874537683164874,9556.470056128295,-145.91276049933649,41.42193732707918,862.0655679309889,0.11506773830635024,-0.11887876691730317,8.379970528710091
NIMBUS COMPACT 110 M-T NET,-403.61652093414347,-50.874537683164874,9556.470056128295,-145.91276049933649,41.42193732707918,862.0655679309889,0.11506773830635024,-0.11887876691730317,8.379970528710091
NIMBUS FLEX 110 M-T - 300 NET,-403.61652093414347,-50.874537683164874,9556.470056128295,-145.91276049933649,41.42193732707918,862.0655679309889,0.11506773830635024,-0.11887876691730317,8.379970528710091
NIMBUS FLEX 110 M-T NET,-403.61652093414347,-50.874537683164874,9556.470056128295,-145.91276049933649,41.42193732707918,862.0655679309889,0.11506773830635024,-0.11887876691730317,8.379970528710091
ARIANEXT COMPACT 110 M-T,-403.61652093414347,-50.874537683164874,9556.470056128295,-145.91276049933649,41.42193732707918,862.0655679309889,0.11506773830635024,-0.11887876691730317,8.379970528710091
ARIANEXT FLEX 110 M-T - 300,-403.61652093414347,-50.874537683164874,9556.470056128295,-145.91276049933649,41.42193732707918,862.0655679309889,0.11506773830635024,-0.11887876691730317,8.379970528710091
ARIANEXT FLEX 110 M-T,-403.61652093414347,-50.874537683164874,9556.470056128295,-145.91276049933649,41.42193732707918,862.0655679309889,0.11506773830635024,-0.11887876691730317,8.379970528710091
AEROTOP MONO 11M-RX,-403.61652093414347,-50.874537683164874,9556.470056128295,-145.91276049933649,41.42193732707918,862.0655679309889,0.11506773830635024,-0.11887876691730317,8.379970528710091
AEROTOP MONO 11M-RXL,-403.61652093414347,-50.874537683164874,9556.470056128295,-145.91276049933649,41.42193732707918,862.0655679309889,0.11506773830635024,-0.11887876691730317,8.379970528710091
